canonical_accounting_office_name,accounting_office_cvr,alias_name,source,confidence
Dupont Revision & Rådgivning,26887801,Dupont Revision & Rådgivning,declaration_legal_name,HIGH
Dupont Revision & Rådgivning,26887801,Dupont,inferred_brand_name,MEDIUM
DVU,21860506,DVU,declaration_legal_name,HIGH
Døssing & Partnere,54879911,Døssing & Partnere,declaration_legal_name,HIGH
Døssing & Partnere,54879911,Døssing,inferred_brand_name,MEDIUM
E-Revisor.com,36412143,E-Revisor.com,declaration_legal_name,HIGH
EBK Smørum ApS,43487469,EBK Smørum ApS,declaration_legal_name,HIGH
EBK Smørum ApS,43487469,Ebk,inferred_brand_name,MEDIUM
EC Økonomi og regnskab,35926585,EC Økonomi og regnskab,declaration_legal_name,HIGH
ECO Revision,35891986,ECO Revision,declaration_legal_name,HIGH
ECO Revision,35891986,Eco,inferred_brand_name,MEDIUM
Eco-Team,27966675,Eco-Team,declaration_legal_name,HIGH
Eco-Team,27966675,Eco,inferred_brand_name,MEDIUM
Ecomentor,26063221,Ecomentor,declaration_legal_name,HIGH
Ecovis Danmark,28939523,Ecovis Danmark,declaration_legal_name,HIGH
Ecovis Danmark,28939523,Ecovis,inferred_brand_name,MEDIUM
Egedal Revision,38035169,Egedal Revision,declaration_legal_name,HIGH
Egedal Revision,38035169,Egedal,inferred_brand_name,MEDIUM
Egelund Revision,20474882,Egelund Revision,declaration_legal_name,HIGH
Egelund Revision,20474882,Egelund,inferred_brand_name,MEDIUM
Egon Pedersen Revision,88248228,Egon Pedersen Revision,declaration_legal_name,HIGH
Egon Pedersen Revision,88248228,Egon,inferred_brand_name,MEDIUM
Egtved Revisionskontor,27910165,Egtved Revisionskontor,declaration_legal_name,HIGH
Egtved Revisionskontor,27910165,Egtved,inferred_brand_name,MEDIUM
EKL Revision,30175859,EKL Revision,declaration_legal_name,HIGH
EKL Revision,30175859,Ekl,inferred_brand_name,MEDIUM
Elisabeth Jessen,11113575,Elisabeth Jessen,declaration_legal_name,HIGH
Elisabeth Jessen,11113575,Elisabeth,inferred_brand_name,MEDIUM
Elite-Revision,25477367,Elite-Revision,declaration_legal_name,HIGH
Elite-Revision,25477367,Elite,inferred_brand_name,MEDIUM
Ellebæk Revision,26287030,Ellebæk Revision,declaration_legal_name,HIGH
Ellebæk Revision,26287030,Ellebæk,inferred_brand_name,MEDIUM
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,Ellebæk Revision Godkendt Revisionsanpartsselskab,activity_signal_dominant_cvr,HIGH
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,Ellebæk Revision godkendt revisionsanpartsselskab,declaration_legal_name,HIGH
Ellebæk Revision godkendt revisionsanpartsselskab,43325000,Ellebæk,inferred_brand_name,MEDIUM
Elley Revision,10938694,Elley Revision,declaration_legal_name,HIGH
Elley Revision,10938694,Elley,inferred_brand_name,MEDIUM
EMV,35865136,EMV,declaration_legal_name,HIGH
EN Frederikshavn,16009644,EN Frederikshavn,declaration_legal_name,HIGH
Engelsted Petersen,20658231,Engelsted Petersen,declaration_legal_name,HIGH
Engelsted Petersen,20658231,Engelsted,inferred_brand_name,MEDIUM
ERC Revision,34205078,ERC Revision,declaration_legal_name,HIGH
ERC Revision,34205078,Erc,inferred_brand_name,MEDIUM
eRevision Statsautoriseret Revisionsanpartsselskab,45086607,eRevision Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
eRevision Statsautoriseret Revisionsanpartsselskab,45086607,Erevision,inferred_brand_name,MEDIUM
Erhvervs Consult ApS,35868828,Erhvervs Consult ApS,declaration_legal_name,HIGH
Erhvervs Consult ApS,35868828,Erhvervs,inferred_brand_name,MEDIUM
Erhvervsrevisorerne i Vejle,26273110,Erhvervsrevisorerne i Vejle,declaration_legal_name,HIGH
Erhvervsrevisorerne i Vejle,26273110,Erhvervsrevisorerne,inferred_brand_name,MEDIUM
ERM Horsens,33501188,ERM Horsens,declaration_legal_name,HIGH
ERM Horsens,33501188,Erm,inferred_brand_name,MEDIUM
ESSET,27288537,ESSET,declaration_legal_name,HIGH
Exacta Gruppen,33359128,Exacta Gruppen,declaration_legal_name,HIGH
Exacta Gruppen,33359128,Exacta,inferred_brand_name,MEDIUM
EXACTA REGNSKAB ApS,25914481,EXACTA REGNSKAB ApS,declaration_legal_name,HIGH
EXACTA REGNSKAB ApS,25914481,Exacta,inferred_brand_name,MEDIUM
Exacta Revision ApS,24224724,Exacta Revision ApS,declaration_legal_name,HIGH
Exacta Revision ApS,24224724,Exacta,inferred_brand_name,MEDIUM
Exante Revision,70694611,Exante Revision,declaration_legal_name,HIGH
Exante Revision,70694611,Exante,inferred_brand_name,MEDIUM
Excell Revision,32428932,Excell Revision,declaration_legal_name,HIGH
Excell Revision,32428932,Excell,inferred_brand_name,MEDIUM
EY,30700228,EY Godkendt Revisionspartnerselskab,activity_signal_dominant_cvr,HIGH
EY,30700228,EY,declaration_legal_name,HIGH
EY,33946171,EY,declaration_legal_name,HIGH
EY,35683194,EY,declaration_legal_name,HIGH
Eybye Invest,27527027,Eybye Invest,declaration_legal_name,HIGH
Eybye Invest,27527027,Eybye,inferred_brand_name,MEDIUM
F I Revision,12576986,F I Revision,declaration_legal_name,HIGH
F.J. Revision,76534268,F.J. Revision,declaration_legal_name,HIGH
FC regnskab,36971339,FC regnskab,declaration_legal_name,HIGH
FER Fyns Erhvervsrevision,21447587,FER Fyns Erhvervsrevision,declaration_legal_name,HIGH
FER Fyns Erhvervsrevision,21447587,Fer,inferred_brand_name,MEDIUM
Fetterlein,36081848,Fetterlein,declaration_legal_name,HIGH
Fidura Statsautoriseret Revisionsanpartsselskab,45740986,Fidura Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Fidura Statsautoriseret Revisionsanpartsselskab,45740986,Fidura,inferred_brand_name,MEDIUM
Finansion v/ revisor Jens Møller,41418737,Finansion v/ revisor Jens Møller,declaration_legal_name,HIGH
Finansion v/ revisor Jens Møller,41418737,Finansion,inferred_brand_name,MEDIUM
Firat Group,21617881,Firat Group,declaration_legal_name,HIGH
Firat Group,21617881,Firat,inferred_brand_name,MEDIUM
Fischer & Kragh ApS,38392867,Fischer & Kragh ApS,declaration_legal_name,HIGH
Fischer & Kragh ApS,38392867,Fischer,inferred_brand_name,MEDIUM
FJH Revision,18165406,FJH Revision,declaration_legal_name,HIGH
FJH Revision,18165406,Fjh,inferred_brand_name,MEDIUM
FKS Revision,26306175,FKS Revision,declaration_legal_name,HIGH
FKS Revision,26306175,Fks,inferred_brand_name,MEDIUM
Flemming Johannsen,31095018,Flemming Johannsen,declaration_legal_name,HIGH
Flemming Johannsen,31095018,Flemming,inferred_brand_name,MEDIUM
FN Revision,29747792,FN Revision,declaration_legal_name,HIGH
Fokusrevision.dk,26996430,Fokusrevision.dk,declaration_legal_name,HIGH
Fokusrevision.dk,26996430,Fokusrevision,inferred_brand_name,MEDIUM
FP Revision,37381136,FP Revision,declaration_legal_name,HIGH
Funder & Henriksen,29628777,Funder & Henriksen,declaration_legal_name,HIGH
Funder & Henriksen,29628777,Funder,inferred_brand_name,MEDIUM
Furesø Revision,27969933,Furesø Revision,declaration_legal_name,HIGH
Furesø Revision,27969933,Furesø,inferred_brand_name,MEDIUM
Fynbo Revision,19706974,Fynbo Revision,declaration_legal_name,HIGH
Fynbo Revision,19706974,Fynbo,inferred_brand_name,MEDIUM
G2 Revision,32285538,G2 Revision,declaration_legal_name,HIGH
GBH Revision & Rådgivning,17610430,GBH Revision & Rådgivning,declaration_legal_name,HIGH
GBH Revision & Rådgivning,17610430,Gbh,inferred_brand_name,MEDIUM
GE Revision & Rådgivning,25187091,GE Revision & Rådgivning,declaration_legal_name,HIGH
Gilfelt Revision,28108303,Gilfelt Revision,declaration_legal_name,HIGH
Gilfelt Revision,28108303,Gilfelt,inferred_brand_name,MEDIUM
gills-economics,39325608,gills-economics,declaration_legal_name,HIGH
gills-economics,39325608,Gills,inferred_brand_name,MEDIUM
GLB Revision,30821963,GLB Revision,declaration_legal_name,HIGH
GLB Revision,30821963,Glb,inferred_brand_name,MEDIUM
Global Revision,28121717,Global Revision,declaration_legal_name,HIGH
Global Revision,28121717,Global,inferred_brand_name,MEDIUM
Glud&Ko,31811694,Glud&Ko,declaration_legal_name,HIGH
Glud&Ko,31811694,Glud,inferred_brand_name,MEDIUM
GoAudit,37205907,GoAudit,declaration_legal_name,HIGH
Grant Thornton,34209936,"Grant Thornton, Godkendt Revisionspartnerselskab",activity_signal_dominant_cvr,HIGH
Grant Thornton,34209936,Grant Thornton,declaration_legal_name,HIGH
Greve Strands Revision,52992753,Greve Strands Revision,declaration_legal_name,HIGH
Greve Strands Revision,52992753,Greve,inferred_brand_name,MEDIUM
Gronemanns,32563627,Gronemanns,declaration_legal_name,HIGH
Grønborg Revision,75076118,Grønborg Revision,declaration_legal_name,HIGH
Grønborg Revision,75076118,Grønborg,inferred_brand_name,MEDIUM
"Grønlands Revision A/S, statsautoriserede revisorer",41762667,"Grønlands Revision A/S, statsautoriserede revisorer",declaration_legal_name,HIGH
"Grønlands Revision A/S, statsautoriserede revisorer",41762667,Grønlands,inferred_brand_name,MEDIUM
Grønlands Revision Godkendt Revisionspartnerselskab,46201515,Grønlands Revision Godkendt Revisionspartnerselskab,declaration_legal_name,HIGH
Grønlands Revision Godkendt Revisionspartnerselskab,46201515,Grønlands,inferred_brand_name,MEDIUM
GS Event + Revisionplus,73881412,GS Event + Revisionplus,declaration_legal_name,HIGH
Gundsø Revision,76475512,Gundsø Revision,declaration_legal_name,HIGH
Gundsø Revision,76475512,Gundsø,inferred_brand_name,MEDIUM
Gunnar Bendixen,71220168,Gunnar Bendixen,declaration_legal_name,HIGH
Gunnar Bendixen,71220168,Gunnar,inferred_brand_name,MEDIUM
GV Revision,25122402,GV Revision,declaration_legal_name,HIGH
H D Consult,27796001,H D Consult,declaration_legal_name,HIGH
Haamann A/S,24256995,Haamann A/S,declaration_legal_name,HIGH
Haamann A/S,24256995,Haamann,inferred_brand_name,MEDIUM
Haamann Statsautoriseret Revisionspartnerselskab,39408198,Haamann Statsautoriseret Revisionspartnerselskab,declaration_legal_name,HIGH
Haamann Statsautoriseret Revisionspartnerselskab,39408198,Haamann,inferred_brand_name,MEDIUM
HALLERUP STATSAUTORISERET REVISOR ApS,79157511,HALLERUP STATSAUTORISERET REVISOR ApS,declaration_legal_name,HIGH
HALLERUP STATSAUTORISERET REVISOR ApS,79157511,Hallerup,inferred_brand_name,MEDIUM
Hans Jørgen Nielsen,20080450,Hans Jørgen Nielsen,declaration_legal_name,HIGH
Hans Jørgen Nielsen,20080450,Hans,inferred_brand_name,MEDIUM
Harboe Consult,35649417,Harboe Consult,declaration_legal_name,HIGH
Harboe Consult,35649417,Harboe,inferred_brand_name,MEDIUM
Harboe og B.,33649452,Harboe og B.,declaration_legal_name,HIGH
Harboe og B.,33649452,Harboe,inferred_brand_name,MEDIUM
Hartvig & Aalund,31478383,Hartvig & Aalund,declaration_legal_name,HIGH
Hartvig & Aalund,31478383,Hartvig,inferred_brand_name,MEDIUM
"Hartzberg+, statsautoriseret revisionsanpartsselskab",40535349,"Hartzberg+, statsautoriseret revisionsanpartsselskab",declaration_legal_name,HIGH
"Hartzberg+, statsautoriseret revisionsanpartsselskab",40535349,Hartzberg,inferred_brand_name,MEDIUM
HE Revision,29404992,HE Revision,declaration_legal_name,HIGH
Hedelund revision & rådgivning,36762454,Hedelund revision & rådgivning,declaration_legal_name,HIGH
Hedelund revision & rådgivning,36762454,Hedelund,inferred_brand_name,MEDIUM
Helledie Revision,39164388,Helledie Revision,declaration_legal_name,HIGH
Helledie Revision,39164388,Helledie,inferred_brand_name,MEDIUM
Henrik Blixenkrone Registreret Revisionsanpartsselskab,10477549,Henrik Blixenkrone Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Henrik Blixenkrone Registreret Revisionsanpartsselskab,10477549,Henrik,inferred_brand_name,MEDIUM
Henrik Hansen Revision,10054192,Henrik Hansen Revision,declaration_legal_name,HIGH
Henrik Hansen Revision,10054192,Henrik,inferred_brand_name,MEDIUM
Hestehavens Revison,31579325,Hestehavens Revison,declaration_legal_name,HIGH
Hestehavens Revison,31579325,Hestehavens,inferred_brand_name,MEDIUM
HH Bogføring og Regnskab,41316489,HH Bogføring og Regnskab,declaration_legal_name,HIGH
HJ Revision ApS,38140515,HJ Revision ApS,declaration_legal_name,HIGH
HK-revision,18767333,HK-revision,declaration_legal_name,HIGH
HKP Revision,12354746,HKP Revision,declaration_legal_name,HIGH
HKP Revision,12354746,Hkp,inferred_brand_name,MEDIUM
Holberg Invest ApS,42657638,Holberg Invest ApS,declaration_legal_name,HIGH
Holberg Invest ApS,42657638,Holberg,inferred_brand_name,MEDIUM
Holberg revision,35638288,Holberg revision,declaration_legal_name,HIGH
Holberg revision,35638288,Holberg,inferred_brand_name,MEDIUM
Hole Revision,30709470,Hole Revision,declaration_legal_name,HIGH
Hole Revision,30709470,Hole,inferred_brand_name,MEDIUM
Holm Hansen Statsautoriseret Revisionspartnerselskab,35042520,Holm Hansen Statsautoriseret Revisionspartnerselskab,declaration_legal_name,HIGH
Holm Hansen Statsautoriseret Revisionspartnerselskab,35042520,Holm,inferred_brand_name,MEDIUM
Hovedstadens Revisionshus ApS,36894415,Hovedstadens Revisionshus ApS,declaration_legal_name,HIGH
Hovedstadens Revisionshus ApS,36894415,Hovedstadens,inferred_brand_name,MEDIUM
HR Revision ApS,46151607,HR Revision ApS,declaration_legal_name,HIGH
Huset Under Linden,73643716,Huset Under Linden,declaration_legal_name,HIGH
Huset Under Linden,73643716,Huset,inferred_brand_name,MEDIUM
HvidebækRevisoren,28931581,HvidebækRevisoren,declaration_legal_name,HIGH
Høffner Revision,76637415,Høffner Revision,declaration_legal_name,HIGH
Høffner Revision,76637415,Høffner,inferred_brand_name,MEDIUM
I.H. Revision v/ Hanne Henningsen,19617203,I.H. Revision v/ Hanne Henningsen,declaration_legal_name,HIGH
Ib Rohde,30905652,Ib Rohde,declaration_legal_name,HIGH
IGM Revision v/iben green madsen,52886252,IGM Revision v/iben green madsen,declaration_legal_name,HIGH
IGM Revision v/iben green madsen,52886252,Igm,inferred_brand_name,MEDIUM
IHC Holding Kolding,31501601,IHC Holding Kolding,declaration_legal_name,HIGH
IHC Holding Kolding,31501601,Ihc,inferred_brand_name,MEDIUM
Inforevision,19263096,Inforevision,declaration_legal_name,HIGH
Intension,26632315,Intension,declaration_legal_name,HIGH
J H Regnskab v/Jan Ekmann Hørsel,20415991,J H Regnskab v/Jan Ekmann Hørsel,declaration_legal_name,HIGH
J. Aarøe Statsautoriseret Revisionsanpartsselskab,34058059,J. Aarøe Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
J. S. Jakobsen,15515554,J. S. Jakobsen,declaration_legal_name,HIGH
Jajaogatterja,40095179,Jajaogatterja,declaration_legal_name,HIGH
JBC Revision v/Jørgen Christensen,25979907,JBC Revision v/Jørgen Christensen,declaration_legal_name,HIGH
JBC Revision v/Jørgen Christensen,25979907,Jbc,inferred_brand_name,MEDIUM
JBL Revision,36491817,JBL Revision,declaration_legal_name,HIGH
JBL Revision,36491817,Jbl,inferred_brand_name,MEDIUM
JE Regnskabsservice,17366270,JE Regnskabsservice,declaration_legal_name,HIGH
"Jens Rye, Statsautoriseret Revisor",41694939,"Jens Rye, Statsautoriseret Revisor",declaration_legal_name,HIGH
"Jens Rye, Statsautoriseret Revisor",41694939,Jens,inferred_brand_name,MEDIUM
Jes Revision,17016334,Jes Revision,declaration_legal_name,HIGH
Jes Revision,17016334,Jes,inferred_brand_name,MEDIUM
JH Revision,55399719,JH Revision,declaration_legal_name,HIGH
"JHL Revision, Esbjerg",40052992,"JHL Revision, Esbjerg",declaration_legal_name,HIGH
"JHL Revision, Esbjerg",40052992,Jhl,inferred_brand_name,MEDIUM
JL Revision,11286380,JL Revision,declaration_legal_name,HIGH
JL Revisorer,31332699,JL Revisorer,declaration_legal_name,HIGH
"John Dalgaard, Statsautoriseret Revisionsanpartsselskab",27192939,"John Dalgaard, Statsautoriseret Revisionsanpartsselskab",declaration_legal_name,HIGH
"John Dalgaard, Statsautoriseret Revisionsanpartsselskab",27192939,John,inferred_brand_name,MEDIUM
Johnny Hansen Registreret Revisionsanpartsselskab,16933503,Johnny Hansen Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Johnny Hansen Registreret Revisionsanpartsselskab,16933503,Johnny,inferred_brand_name,MEDIUM
Johnny Kofoed-Jensen,40992138,Johnny Kofoed-Jensen,declaration_legal_name,HIGH
Johnny Kofoed-Jensen,40992138,Johnny,inferred_brand_name,MEDIUM
Joost & Partner Registreret Revisionsanpartsselskab,63778710,Joost & Partner Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Joost & Partner Registreret Revisionsanpartsselskab,63778710,Joost,inferred_brand_name,MEDIUM
JP Management Holding,25709888,JP Management Holding,declaration_legal_name,HIGH
"JS Revision, Godkendt Revisionsaktieselskab",37999687,"JS Revision, Godkendt Revisionsaktieselskab",declaration_legal_name,HIGH
JST Revision,26344735,JST Revision,declaration_legal_name,HIGH
JST Revision,26344735,Jst,inferred_brand_name,MEDIUM
JT Adviser,14081844,JT Adviser,declaration_legal_name,HIGH
JuelViborg,31438748,JuelViborg,declaration_legal_name,HIGH
Juul & Blicher ApS,45395634,Juul & Blicher ApS,declaration_legal_name,HIGH
Juul & Blicher ApS,45395634,Juul,inferred_brand_name,MEDIUM
JVBM Revision,36972912,JVBM Revision,declaration_legal_name,HIGH
JVBM Revision,36972912,Jvbm,inferred_brand_name,MEDIUM
Jysk Revision og Rådgivning ApS,43573810,Jysk Revision og Rådgivning ApS,declaration_legal_name,HIGH
Jysk Revision og Rådgivning ApS,43573810,Jysk,inferred_brand_name,MEDIUM
Jørn Haagensen Statsautoriseret Revisionsanpartsselskab,33759231,Jørn Haagensen Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Jørn Haagensen Statsautoriseret Revisionsanpartsselskab,33759231,Jørn,inferred_brand_name,MEDIUM
Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,28309724,Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Jørn m. Schmidt Statsautoriseret Revisionsanpartsselskab,28309724,Jørn,inferred_brand_name,MEDIUM
K.T. Revision Vejle,70969815,K.T. Revision Vejle,declaration_legal_name,HIGH
K2 TOP Registreret Revisionsanpartsselskab,30175905,K2 TOP Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Kallermann Revision,30195264,Kallermann Revision,declaration_legal_name,HIGH
Kallermann Revision,30195264,Kallermann,inferred_brand_name,MEDIUM
Kappelskov Revision,11790577,Kappelskov Revision,declaration_legal_name,HIGH
Kappelskov Revision,11790577,Kappelskov,inferred_brand_name,MEDIUM
Kara Statsautoriseret Revisionsanpartsselskab,45945189,Kara Statsautoriseret Revisionsanpartsselskab,declaration_legal_name,HIGH
Kara Statsautoriseret Revisionsanpartsselskab,45945189,Kara,inferred_brand_name,MEDIUM
Karin Juel Registreret Revisionsvirksomhed,12911580,Karin Juel Registreret Revisionsvirksomhed,declaration_legal_name,HIGH
Karin Juel Registreret Revisionsvirksomhed,12911580,Karin,inferred_brand_name,MEDIUM
Karleby Revision ApS,26252687,Karleby Revision ApS,declaration_legal_name,HIGH
Karleby Revision ApS,26252687,Karleby,inferred_brand_name,MEDIUM
Karsten Andersen Registreret Revisionsvirksomhed,34274657,Karsten Andersen Registreret Revisionsvirksomhed,declaration_legal_name,HIGH
Karsten Andersen Registreret Revisionsvirksomhed,34274657,Karsten,inferred_brand_name,MEDIUM
Karsten Reher. Revisionsanpartsselskab,76477817,Karsten Reher. Revisionsanpartsselskab,declaration_legal_name,HIGH
Karsten Reher. Revisionsanpartsselskab,76477817,Karsten,inferred_brand_name,MEDIUM
Kerteminde Revision v/Charlotte Elwain,29573360,Kerteminde Revision v/Charlotte Elwain,declaration_legal_name,HIGH
Kerteminde Revision v/Charlotte Elwain,29573360,Kerteminde,inferred_brand_name,MEDIUM
Kildebjerg Revision,26631556,Kildebjerg Revision,declaration_legal_name,HIGH
Kildebjerg Revision,26631556,Kildebjerg,inferred_brand_name,MEDIUM
Kirkhoff,30351002,Kirkhoff,declaration_legal_name,HIGH
Kjeld Linnebjerg Registreret Revisionsanpartsselskab,15587008,Kjeld Linnebjerg Registreret Revisionsanpartsselskab,declaration_legal_name,HIGH
Kjeld Linnebjerg Registreret Revisionsanpartsselskab,15587008,Kjeld,inferred_brand_name,MEDIUM
"Kjeldsen Revision, Statsautoriseret Revisionsanpartsselskab",46115422,"Kjeldsen Revision, Statsautoriseret Revisionsanpartsselskab",declaration_legal_name,HIGH
"Kjeldsen Revision, Statsautoriseret Revisionsanpartsselskab",46115422,Kjeldsen,inferred_brand_name,MEDIUM
Kjær Revision,37984558,Kjær Revision,declaration_legal_name,HIGH
Kjær Revision,37984558,Kjær,inferred_brand_name,MEDIUM
Klar Revision,35827943,Klar Revision,declaration_legal_name,HIGH
Klar Revision,35827943,Klar,inferred_brand_name,MEDIUM
Klinkby Revision v/Lars Klinkby,30006674,Klinkby Revision v/Lars Klinkby,declaration_legal_name,HIGH
Klinkby Revision v/Lars Klinkby,30006674,Klinkby,inferred_brand_name,MEDIUM
KOA CPH ApS,45107787,KOA CPH ApS,declaration_legal_name,HIGH
KOA CPH ApS,45107787,Koa,inferred_brand_name,MEDIUM
KOA Rådgivning & Regnskab ApS,78168714,KOA Rådgivning & Regnskab ApS,declaration_legal_name,HIGH
KOA Rådgivning & Regnskab ApS,78168714,Koa,inferred_brand_name,MEDIUM
Kobstrup,17294431,Kobstrup,declaration_legal_name,HIGH
Kolding Erhvervsservice,30817222,Kolding Erhvervsservice,declaration_legal_name,HIGH
Kolding Erhvervsservice,30817222,Kolding,inferred_brand_name,MEDIUM
Kolding Herreds Landbrugsforening,21111511,Kolding Herreds Landbrugsforening,declaration_legal_name,HIGH
Kolding Herreds Landbrugsforening,21111511,Kolding,inferred_brand_name,MEDIUM
Kompas Revision,26291593,Kompas Revision,declaration_legal_name,HIGH
Kompas Revision,26291593,Kompas,inferred_brand_name,MEDIUM
KOMPLEMENTARANPARTSSELSKABET ANDERSEN REVISION,35534156,KOMPLEMENTARANPARTSSELSKABET ANDERSEN REVISION,declaration_legal_name,HIGH
KOMPLEMENTARANPARTSSELSKABET ANDERSEN REVISION,35534156,Komplementaranpartsselskabet,inferred_brand_name,MEDIUM
Konde ApS,38575694,Konde ApS,declaration_legal_name,HIGH
Konde ApS,38575694,Konde,inferred_brand_name,MEDIUM
Kongevejens Revision,25273621,Kongevejens Revision,declaration_legal_name,HIGH
Kongevejens Revision,25273621,Kongevejens,inferred_brand_name,MEDIUM
Konsulent Jens H. Hedegaard,42746452,Konsulent Jens H. Hedegaard,declaration_legal_name,HIGH
Konsulent Jens H. Hedegaard,42746452,Konsulent,inferred_brand_name,MEDIUM
Korsgaard Revision,13835640,Korsgaard Revision,declaration_legal_name,HIGH
Korsgaard Revision,13835640,Korsgaard,inferred_brand_name,MEDIUM
Kovsted & Skovgård,38751646,"KOVSTED & SKOVGÅRD, REVISION & RÅDGIVNING, STATSAUTORISERET REVISIONSPARTNERSELSKAB",activity_signal_dominant_cvr,HIGH
Kovsted & Skovgård,38751646,Kovsted & Skovgård,declaration_legal_name,HIGH
Kovsted & Skovgård,38751646,Kovsted,inferred_brand_name,MEDIUM
KPMG,25578198,KPMG,declaration_legal_name,HIGH
KPMG KOMPLEMENTARSELSKAB ApS,25504070,KPMG KOMPLEMENTARSELSKAB ApS,declaration_legal_name,HIGH
KPMG KOMPLEMENTARSELSKAB ApS,25504070,Kpmg,inferred_brand_name,MEDIUM
Kramer Consulting,38654217,Kramer Consulting,declaration_legal_name,HIGH
Kramer Consulting,38654217,Kramer,inferred_brand_name,MEDIUM
Kreston AKC,35316957,Kreston AKC,declaration_legal_name,HIGH
Kreston CM,39463113,Kreston CM Statsautoriseret Revisions interessentskab,activity_signal_dominant_cvr,HIGH
Kreston CM,39463113,Kreston CM,declaration_legal_name,HIGH
Kreston JC,27619096,Kreston JC,declaration_legal_name,HIGH
Kreston SR,33948794,Kreston SR Statsautoriseret Revisionspartnerselskab,activity_signal_dominant_cvr,HIGH
Kreston SR,33948794,Kreston SR,declaration_legal_name,HIGH
Krogh & Thomsen,19154408,Krogh & Thomsen,declaration_legal_name,HIGH
Krogh & Thomsen,19154408,Krogh,inferred_brand_name,MEDIUM
Kruse Revision,43113577,Kruse Revision,declaration_legal_name,HIGH
Kruse Revision,43113577,Kruse,inferred_brand_name,MEDIUM
Krydsrevision,38225804,Krydsrevision,declaration_legal_name,HIGH
Krøyer Pedersen Statsautoriserede Revisorer,89224918,Krøyer Pedersen Statsautoriserede Revisorer I/S,activity_signal_dominant_cvr,HIGH
Krøyer Pedersen Statsautoriserede Revisorer,89224918,Krøyer Pedersen Statsautoriserede Revisorer,declaration_legal_name,HIGH
Krøyer Pedersen Statsautoriserede Revisorer,89224918,Krøyer Pedersen,inferred_brand_name,MEDIUM
Krøyer Pedersen Statsautoriserede Revisorer P/S,45922391,Krøyer Pedersen Statsautoriserede Revisorer P/S,declaration_legal_name,HIGH
Krøyer Pedersen Statsautoriserede Revisorer P/S,45922391,Krøyer Pedersen,inferred_brand_name,MEDIUM
Kvalitetsrevision,36480254,Kvalitetsrevision,declaration_legal_name,HIGH
Kvist & Jensen,36717785,Kvist & Jensen,declaration_legal_name,HIGH
Kvist & Jensen,36717785,Kvist,inferred_brand_name,MEDIUM
"Kvist & Jensen, Grenaa",27478131,"Kvist & Jensen, Grenaa",declaration_legal_name,HIGH
"Kvist & Jensen, Grenaa",27478131,Kvist,inferred_brand_name,MEDIUM
Kvist Revision ApS,38818724,Kvist Revision ApS,declaration_legal_name,HIGH
Kvist Revision ApS,38818724,Kvist,inferred_brand_name,MEDIUM
Køge Nord Revision,14149341,Køge Nord Revision,declaration_legal_name,HIGH
Køge Nord Revision,14149341,Køge,inferred_brand_name,MEDIUM
L.A. Revision,17022970,L.A. Revision,declaration_legal_name,HIGH
Landbo Limfjord,26243076,Landbo Limfjord,declaration_legal_name,HIGH
Landbo Limfjord,26243076,Landbo,inferred_brand_name,MEDIUM
Landboforeningen Gefion,31123992,Landboforeningen Gefion,declaration_legal_name,HIGH
Landboforeningen Gefion,31123992,Landboforeningen,inferred_brand_name,MEDIUM
LandboNord,25049608,LandboNord,declaration_legal_name,HIGH
LandboThy,41946717,LandboThy,declaration_legal_name,HIGH
Landbrugsrådgivning Syd,30719131,Landbrugsrådgivning Syd,declaration_legal_name,HIGH
Landbrugsrådgivning Syd,30719131,Landbrugsrådgivning,inferred_brand_name,MEDIUM
Landwirtschaftlicher Hauptverein für Nordschleswig,16342718,Landwirtschaftlicher Hauptverein für Nordschleswig,declaration_legal_name,HIGH
Landwirtschaftlicher Hauptverein für Nordschleswig,16342718,Landwirtschaftlicher,inferred_brand_name,MEDIUM
Langelands Revisionscenter,61225811,Langelands Revisionscenter,declaration_legal_name,HIGH
Langelands Revisionscenter,61225811,Langelands,inferred_brand_name,MEDIUM
Langelinierevisionen,11303870,Langelinierevisionen,declaration_legal_name,HIGH
Lars Ole Wiese,30220331,Lars Ole Wiese,declaration_legal_name,HIGH
Lars Ole Wiese,30220331,Lars,inferred_brand_name,MEDIUM
Lars P Revision,33225172,Lars P Revision,declaration_legal_name,HIGH
Lars P Revision,33225172,Lars,inferred_brand_name,MEDIUM
"Larsen, Statsautoriseret Revisionsanpartsselskab",45756173,"Larsen, Statsautoriseret Revisionsanpartsselskab",declaration_legal_name,HIGH
"Larsen, Statsautoriseret Revisionsanpartsselskab",45756173,Larsen,inferred_brand_name,MEDIUM
